Date,Name,Duration,Distance,Speed,UpHill,DownHill,type,A_Comment,A_Duration,A_Distance
2023-08-02,גדרה אשדוד ים עם ניר,2.25,36.06,16.0,338.0,351.0,tour_recorded,,,
2023-07-31,Road Ride,1.81,30.53,16.9,257.0,259.0,tour_recorded,,,
2023-07-29,Road Ride,2.66,39.63,14.9,348.0,354.0,tour_recorded,,,
2023-07-27,Road Ride,1.51,27.31,18.1,217.0,222.0,tour_recorded,,,
2023-07-12,Road Ride סיבוב מהיר לבית גמליאל,1.06,21.06,19.9,148.0,152.0,tour_recorded,,,
2023-07-10,לחירבה ליד ישעי ןחזרה,2.75,47.62,17.3,415.0,415.0,tour_recorded,,,
2023-07-08,Road Ride,3.28,48.19,14.7,324.0,339.0,tour_recorded,,,
2023-07-04,רכיבת ערב עם אמרי 4.7.23,1.98,35.79,18.1,315.0,303.0,tour_recorded,,,
2023-07-01,Road Ride,2.52,39.96,15.9,298.0,296.0,tour_recorded,,,
2023-06-29,Road Ride,1.83,34.16,18.7,247.0,263.0,tour_recorded,,,
2023-06-26,דרך מנדטורית. זולה יסודות וחזרה,2.35,39.75,16.9,374.0,361.0,tour_recorded,,,
2023-06-24,גדרה-גבעת ברנר-מזכרת בתיה-תל יאקוט-גדרה,2.45,36.8,15.0,310.0,305.0,tour_recorded,,,
2023-06-22,Road Ride,1.37,24.58,18.0,204.0,200.0,tour_recorded,,,
2023-06-18,Road Ride,1.13,21.4,18.9,211.0,205.0,tour_recorded,,,
2023-06-17,Road Ride חולדה משמר דוד זולה וחזרה,1.7,29.18,17.2,305.0,322.0,tour_recorded,,,
2023-06-14,Road Ride,1.11,20.43,18.4,186.0,189.0,tour_recorded,,,
2023-06-10,Road Ride ךסיבוב הזולה הארו,2.03,33.47,16.5,301.0,296.0,tour_recorded,,,
2023-06-07,Road Ride,1.13,20.75,18.4,189.0,182.0,tour_recorded,,,
2023-06-03,Road Ride,2.4,38.13,15.9,322.0,339.0,tour_recorded,,,
2023-06-01,Road Ride,1.2,22.34,18.6,186.0,197.0,tour_recorded,,,
2023-05-30,רגיל חזרה דרך קידרון,1.18,22.56,19.1,227.0,229.0,tour_recorded,,,
2023-05-27,יער הקדושים לירושלים 2023,3.67,44.18,12.0,993.0,519.0,tour_recorded,,,
2023-05-24,Road Ride,1.01,20.82,20.7,164.0,169.0,tour_recorded,,,
2023-05-20,תל גזר ועין ירדא,3.3,51.77,15.7,483.0,490.0,tour_recorded,,,
2023-05-16,Road Ride,1.18,21.32,18.0,191.0,185.0,tour_recorded,,,
2023-05-13,Road Ride,2.06,35.25,17.1,344.0,346.0,tour_recorded,,,
2023-05-08,Road Ride,1.14,21.44,18.8,232.0,240.0,tour_recorded,,,
2023-05-06,Road Ride,2.45,36.56,14.9,366.0,342.0,tour_recorded,,,
2023-05-05,Road Ride,0.48,8.48,17.5,90.0,83.0,tour_recorded,,,
2023-05-03,Road Ride,1.86,31.9,17.2,320.0,313.0,tour_recorded,,,
2023-04-30,Road Ride,1.3,22.28,17.1,189.0,186.0,tour_recorded,,,
2023-04-28,Road Ride,3.47,62.45,18.0,607.0,821.0,tour_recorded,,,
2023-04-25,Road Ride,2.82,44.85,15.9,513.0,523.0,tour_recorded,,,
2023-04-22,Road Ride,2.1,34.01,16.2,343.0,344.0,tour_recorded,,,
2023-04-20,Road Ride,1.28,22.18,17.4,190.0,185.0,tour_recorded,,,
2023-04-19,Road Ride,1.27,22.16,17.4,218.0,218.0,tour_recorded,,,
2023-04-15,Road Ride,2.61,43.81,16.8,356.0,348.0,tour_recorded,,,
2023-04-10,Road Ride,1.82,30.51,16.7,269.0,273.0,tour_recorded,,,
2023-04-08,Road Ride,2.01,31.17,15.5,276.0,261.0,tour_recorded,,,
2023-04-06,Road Ride,1.34,22.63,16.9,183.0,190.0,tour_recorded,,,
2023-04-04,Bike Tour,0.39,6.29,16.1,54.0,72.0,tour_recorded,,,
2023-04-03,Road Ride,1.63,22.62,13.9,188.0,188.0,tour_recorded,,,
2023-04-01,Road Ride,2.1,32.44,15.4,277.0,272.0,tour_recorded,,,
2023-03-31,Road Ride,1.38,22.51,16.4,162.0,166.0,tour_recorded,,,
2023-03-29,Road Ride,1.36,22.51,16.5,207.0,199.0,tour_recorded,,,
2023-03-25,Road Ride,2.17,35.2,16.2,351.0,339.0,tour_recorded,,,
2023-03-18,Road Ride,1.73,32.09,18.6,243.0,221.0,tour_recorded,,,
2023-03-16,Road Ride,1.38,23.51,17.0,236.0,223.0,tour_recorded,,,
2023-03-11,Road Ride,2.79,44.54,16.0,419.0,427.0,tour_recorded,,,
2023-03-08,Road Ride,1.26,22.31,17.8,250.0,228.0,tour_recorded,,,
2023-03-04,Bike Ride,1.94,33.9,17.5,357.0,345.0,tour_recorded,,,
2023-03-02,Bike Ride,1.09,20.51,18.8,180.0,162.0,tour_recorded,,,
2023-02-27,Bike Ride,1.17,20.54,17.6,159.0,155.0,tour_recorded,,,
2023-02-25,Bike Ride,2.02,33.42,16.5,290.0,270.0,tour_recorded,,,
2023-02-22,Bike Ride,1.84,31.12,16.9,293.0,283.0,tour_recorded,,,
2023-02-18,Bike Ride,0.96,16.39,17.1,160.0,169.0,tour_recorded,,,
2023-02-17,Bike Ride,1.45,20.42,14.1,216.0,212.0,tour_recorded,,,
2023-02-11,Bike Ride,2.12,32.04,15.1,215.0,216.0,tour_recorded,,,
2023-01-21,Bike Ride,2.13,34.07,16.0,294.0,290.0,tour_recorded,,,
2023-01-19,Bike Ride,1.1,20.58,18.6,181.0,174.0,tour_recorded,,,
2023-01-17,Bike Ride,1.38,18.09,13.1,125.0,155.0,tour_recorded,,,
2022-12-31,Bike Ride,2.48,40.74,16.4,299.0,342.0,tour_recorded,,,
2022-12-10,Bike Ride,1.95,30.42,15.6,241.0,214.0,tour_recorded,,,
2022-11-12,Bike Ride,1.9,32.9,17.3,269.0,299.0,tour_recorded,,,
2022-11-07,Bike Ride,1.11,20.99,18.9,151.0,153.0,tour_recorded,,,
2022-11-05,Bike Ride,0.98,17.74,18.0,162.0,211.0,tour_recorded,,,
2022-10-24,Bike Ride,1.22,21.46,17.6,181.0,173.0,tour_recorded,,,
2022-10-22,Bike Ride,2.36,41.76,17.7,512.0,510.0,tour_recorded,,,
2022-10-19,Bike Ride,1.15,20.94,18.3,189.0,180.0,tour_recorded,,,
2022-10-13,Mountaineering Tour,1.42,26.37,18.5,232.0,226.0,tour_recorded,,,
2022-10-11,Bike Ride,2.52,40.46,16.1,364.0,403.0,tour_recorded,,,
2022-10-08,Bike Ride,2.77,42.83,15.5,432.0,455.0,tour_recorded,,,
2022-10-05,Bike Ride,2.46,8.68,3.5,100.0,96.0,tour_recorded,,,
2022-10-01,Bike Ride,2.29,39.23,17.2,360.0,364.0,tour_recorded,,,
2022-09-30,Bike Ride,1.24,22.4,18.0,234.0,249.0,tour_recorded,,,
2022-09-27,Bike Ride,3.13,50.26,16.0,409.0,410.0,tour_recorded,,,
2022-09-24,Bike Ride,2.05,31.88,15.6,297.0,290.0,tour_recorded,,,
2022-09-23,Bike Ride,1.17,21.47,18.3,238.0,226.0,tour_recorded,,,
2022-09-17,Bike Ride,2.37,38.68,16.3,416.0,407.0,tour_recorded,,,
2022-09-15,Bike Ride,1.2,21.6,17.9,216.0,220.0,tour_recorded,,,
2022-09-14,Bike Ride,1.21,21.68,17.9,183.0,189.0,tour_recorded,,,
2022-09-08,Bike Ride,1.13,20.98,18.5,174.0,177.0,tour_recorded,,,
2022-09-07,Bike Ride,1.1,6.91,6.3,34.0,66.0,tour_recorded,,,
2022-09-06,Bike Ride,1.52,27.06,17.8,267.0,263.0,tour_recorded,,,
2022-09-03,Bike Ride,2.42,40.76,16.9,399.0,407.0,tour_recorded,,,
2022-08-30,Bike Ride,2.02,33.88,16.8,363.0,357.0,tour_recorded,,,
2022-08-27,Bike Ride,2.37,45.24,19.1,443.0,436.0,tour_recorded,,,
2022-08-23,to  Plmachim and back,2.89,47.8,16.6,439.0,451.0,tour_recorded,,,
2022-08-20,Bike Ride,2.48,36.84,14.9,349.0,340.0,tour_recorded,,,
2022-08-18,Bike Ride,1.87,28.69,15.4,290.0,281.0,tour_recorded,,,
2022-08-11,Bike Ride,1.42,24.39,17.2,227.0,226.0,tour_recorded,,,
2022-08-09,Bike Ride,1.94,28.13,14.5,324.0,324.0,tour_recorded,,,
2022-08-05,Bike Ride,1.52,26.46,17.4,247.0,253.0,tour_recorded,,,
2022-08-03,Bike Ride,2.24,37.05,16.5,255.0,270.0,tour_recorded,,,
2022-07-26,Bike Ride,2.76,43.08,15.6,454.0,465.0,tour_recorded,,,
2022-07-23,Bike Ride,2.01,34.9,17.4,299.0,300.0,tour_recorded,,,
2022-07-22,גדרה תל גזר,2.7,45.4,16.8,527.0,530.0,tour_recorded,,,
2022-07-20,Bike Ride,1.15,17.51,15.2,164.0,183.0,tour_recorded,,,
2022-07-19,Bike Ride,1.28,23.29,18.3,207.0,202.0,tour_recorded,,,
2022-07-17,Bike Ride,1.11,21.01,18.9,236.0,200.0,tour_recorded,,,
2022-07-15,Bike Ride,2.41,39.71,16.5,355.0,317.0,tour_recorded,,,
2022-07-13,Bike Ride,1.63,25.64,15.7,164.0,180.0,tour_recorded,,,
